Company Name,Last Price,Quantity,Investment,Year 2031,Profit 2031
Cheviot Company,697.15,100,69715,1394.3,139430
Sasken Tech,797.8,100,79780,1595.6,159560
Kewal Kiran,885.7,100,88570,1771.4,177140
Hindustan Aeron,927.4,100,92740,1854.8,185480
IWML,"1,015.50",100,101550,2031,203100
Mahanagar Gas,"1,035.80",100,103580,2071.6,207160
Infosys,1134.65,100,113465,2269.3,226930
Timken,"1,195.85",100,119585,2391.7,239170
Swaraj Engines,"1,304.90",100,130490,2609.8,260980
Mphasis,1334.9,100,133490,2669.8,266980
Esab India,"1,746.35",100,174635,3492.7,349270
SKF India,"1,753.45",100,175345,3506.9,350690
Stovec Ind,"1,916.90",100,191690,3833.8,383380
TCS,2727.55,100,272755,5455.1,545510
Hero Motocorp,3180.45,100,318045,6360.9,636090
Oracle Fin Serv,"3,218.45",100,321845,6436.9,643690
Bajaj Auto ,3311.4,100,331140,6622.8,662280
VST Industries,3751.7,100,375170,7503.4,750340
Tide Water Oil,"4,280.30",100,428030,8560.6,856060
Pfizer,"4,638.00",100,463800,9276,927600
Procter&Gamble,"7,109.10",100,710910,14218.2,1421820
Sanofi India,"7,827.30",100,782730,15654.6,1565460
